Open, Close, High, Low, Volume
30.915,30.825,30.915,30.795,20334
30.82,30.825,30.85,30.805,4780
30.81,30.84,30.845,30.805,4514
30.82,30.79,30.87,30.78,3968
30.825,30.86,30.86,30.825,1062
30.855,30.885,30.885,30.82,8182
30.9,30.9,30.9,30.845,6072
30.9,30.875,30.91,30.855,3722
30.88,30.865,30.88,30.82,13060
30.88,30.875,30.93,30.865,10998
30.86,30.765,30.88,30.765,11232
30.755,30.73,30.765,30.685,14048
30.73,30.71,30.73,30.67,15856
30.78,30.67,30.8,30.66,18258
30.64,30.74,30.83,30.625,44990
30.94,30.85,30.985,30.85,1008
30.88,30.92,31.095,30.88,902
30.94,30.79,30.94,30.77,2866
30.785,30.77,30.86,30.71,2772
30.68,30.55,30.715,30.53,4668
30.555,30.445,30.59,30.445,2724
30.435,30.23,30.435,30.21,7466
30.21,30.185,30.21,30.135,2410
30.16,29.94,30.16,29.93,5908
29.95,30.065,30.13,29.95,4656
30.095,30.175,30.22,30.095,2642
30.135,30.165,30.165,30.07,2770
30.175,30.18,30.195,30.155,3618
30.145,30.145,30.145,30.145,202
30.02,30.035,30.05,30.01,3162
29.97,30.025,30.025,29.96,1702
29.965,29.925,30.005,29.9,1730
29.935,29.96,29.98,29.935,1630
30.015,29.985,30.015,29.94,2668
29.985,29.99,29.99,29.985,526
30.11,30.11,30.11,30.11,200
30.12,30.14,30.14,30.115,1306
30.16,30.14,30.16,30.1,3456
30.13,30.175,30.185,30.13,2050
30.175,30.19,30.21,30.17,3854
30.15,30.215,30.215,30.15,1874
30.215,30.275,30.275,30.215,1322
30.255,30.255,30.255,30.255,1244
30.195,30.195,30.195,30.195,784
30.16,30.16,30.16,30.16,200
30.19,30.14,30.19,30.14,898
30.17,30.105,30.17,30.09,3396
30.14,30.095,30.14,30.095,2610
30.105,30.115,30.115,30.105,1240
30.17,30.255,30.255,30.17,608
30.28,30.29,30.29,30.28,400
30.28,30.26,30.29,30.26,1850
30.23,30.23,30.23,30.23,200
30.21,30.21,30.22,30.21,604
30.22,30.22,30.22,30.22,202
30.3,30.3,30.3,30.3,200
30.295,30.295,30.295,30.295,200
30.29,30.29,30.29,30.29,200
30.22,30.19,30.22,30.19,602
30.18,30.18,30.18,30.18,228
30.19,30.215,30.215,30.19,1106
30.23,30.24,30.24,30.22,802
30.24,30.22,30.24,30.22,1148
30.19,30.215,30.215,30.19,904
30.21,30.185,30.21,30.18,800
30.215,30.23,30.23,30.215,800
30.32,30.38,30.39,30.32,652
30.39,30.44,30.47,30.39,1992
30.45,30.43,30.45,30.43,912
30.42,30.4,30.425,30.4,1466
30.395,30.39,30.42,30.39,2184
30.375,30.36,30.375,30.36,1008
30.37,30.38,30.38,30.37,1164
30.43,30.39,30.43,30.375,1950
30.37,30.36,30.37,30.34,1424
30.36,30.305,30.37,30.27,7226
30.305,30.29,30.31,30.28,1032
30.29,30.28,30.3,30.265,3968
30.255,30.3,30.3,30.245,7934
30.29,30.235,30.29,30.23,3650
30.24,30.225,30.245,30.19,3940
30.24,30.215,30.26,30.215,3978
30.22,30.2,30.22,30.18,2440
30.2,30.17,30.21,30.12,6056
30.18,30.18,30.18,30.135,3512
30.17,30.18,30.26,30.17,11194
30.17,30.19,30.21,30.17,12884
30.18,30.17,30.19,30.12,8908
30.17,30.21,30.23,30.17,12422
30.205,30.175,30.22,30.15,24170
30.17,30.19,30.22,30.12,52040
31.6,32.375,32.41,31.6,4340
32.31,32.31,32.4,32.26,1833
32.52,32.55,32.61,32.49,1646
32.46,32.44,32.53,32.4,2249
32.38,32.29,32.39,32.25,2526
32.29,32.42,32.44,32.29,1444
32.44,32.42,32.51,32.42,1648
32.375,32.26,32.375,32.26,1272
32.3,32.37,32.39,32.3,686
32.365,32.28,32.365,32.24,1283
32.24,32.31,32.31,32.24,793
32.285,32.36,32.36,32.165,1551
32.37,32.47,32.47,32.35,1090
32.46,32.46,32.48,32.42,1416
32.5,32.58,32.58,32.495,662
32.58,32.53,32.6,32.5,2016
32.58,32.6,32.65,32.58,1539
32.6,32.53,32.6,32.51,1177
32.53,32.625,32.64,32.53,2415
32.63,32.78,32.88,32.615,2488
32.75,32.74,32.78,32.69,1702
32.77,32.77,32.77,32.77,151
32.8,32.79,32.8,32.73,2180
32.73,32.77,32.79,32.69,2332
32.765,32.85,32.85,32.765,1164
32.83,32.83,32.83,32.83,100
32.85,32.86,32.91,32.85,3380
32.85,32.87,32.92,32.85,1618
32.93,32.81,32.93,32.775,1348
32.8,32.88,32.88,32.75,1661
32.85,32.8,32.88,32.79,1683
32.84,32.86,32.86,32.77,1763
32.95,32.94,32.95,32.92,680
32.93,32.86,32.93,32.84,792
32.89,32.89,32.89,32.89,416
32.86,32.91,32.91,32.83,907
32.89,32.84,32.9,32.82,1524
32.82,32.86,32.86,32.82,725
32.87,32.93,32.95,32.87,1213
32.935,32.98,32.98,32.91,1205
32.97,33.04,33.04,32.97,1203
33.065,33.11,33.11,33.04,1059
33.09,33.23,33.23,33.04,1443
33.205,33.28,33.28,33.205,690
33.3,33.3,33.31,33.27,1383
33.31,33.295,33.31,33.27,1376
33.36,33.45,33.45,33.335,1585
33.475,33.47,33.48,33.47,859
33.48,33.37,33.48,33.37,964
33.39,33.39,33.39,33.39,725
33.34,33.34,33.34,33.34,200
33.355,33.37,33.37,33.355,216
33.38,33.38,33.38,33.38,300
33.25,33.29,33.29,33.25,341
33.32,33.29,33.32,33.27,416
33.27,33.31,33.33,33.26,959
33.29,33.26,33.29,33.26,385
33.285,33.27,33.285,33.27,316
33.31,33.335,33.36,33.31,516
33.28,33.33,33.33,33.28,883
33.32,33.18,33.32,33.18,1018
33.17,33.215,33.22,33.165,1176
33.215,33.24,33.24,33.215,813
33.23,33.33,33.33,33.21,2739
33.35,33.355,33.39,33.325,1444
33.37,33.38,33.41,33.365,1970
33.35,33.27,33.36,33.24,4483
33.285,33.365,33.365,33.285,1832
33.38,33.395,33.43,33.37,2709
33.4,33.5,33.5,33.36,8138
33.5,33.4,33.5,33.4,7262
33.37,33.39,33.43,33.35,7657
33.38,33.25,33.41,33.24,11386
33.28,33.33,33.355,33.28,2747
33.31,33.13,33.35,33.115,3157
33.12,32.955,33.16,32.955,5009
32.97,32.92,33.045,32.88,22580
32.92,32.93,32.94,32.84,26183
34.61,35.09,35.09,34.46,2692
35.05,34.89,35.13,34.86,2146
34.72,34.98,34.98,34.72,900
34.95,34.35,34.95,34.35,4078
34.34,34.31,34.48,34.31,2557
34.27,34.3,34.35,34.25,2507
34.26,34.06,34.26,34.06,300
33.93,33.9,33.93,33.9,342
33.82,33.98,33.98,33.82,735
33.92,34.025,34.04,33.92,556
34.045,34.02,34.07,34,2183
33.89,33.89,33.89,33.89,100
33.88,33.78,33.88,33.78,650
33.7,33.72,33.76,33.67,538
33.71,33.51,33.71,33.51,815
33.545,33.62,33.67,33.515,1139
33.5,33.73,33.73,33.5,503
33.83,34.04,34.04,33.83,763
33.995,33.83,33.995,33.8,802
33.96,33.85,33.96,33.85,506
33.79,33.83,33.83,33.74,822
33.69,33.61,33.69,33.61,251
33.61,33.59,33.61,33.59,200
33.73,33.88,33.88,33.73,628
33.85,33.77,33.88,33.64,1680
33.75,33.805,33.82,33.75,981
33.87,33.87,33.87,33.78,1101
33.8,33.8,33.8,33.8,100
33.88,33.86,33.91,33.86,468
33.86,33.86,33.86,33.86,210
33.75,33.86,33.86,33.705,668
33.87,33.84,33.87,33.82,312
33.82,33.84,33.84,33.82,238
33.8,33.83,33.83,33.8,333
33.84,33.83,33.86,33.83,1347
33.79,33.835,33.835,33.74,1122
33.82,33.82,33.82,33.765,700
33.755,33.77,33.77,33.755,200
33.8,33.895,33.91,33.8,515
33.93,33.99,34.01,33.92,971
34.08,34.08,34.08,34.06,452
34.06,34.13,34.13,34,1769
34.145,34.2,34.2,34.145,615
34.2,34.21,34.21,34.14,1511
34.255,34.13,34.255,34.13,994
34.19,34.14,34.19,34.08,1430
34.17,34.15,34.19,34.12,1594
34.08,34.125,34.14,34.08,1122
34.095,34.16,34.16,34.07,991
34.16,34.16,34.16,34.16,100
34.2,34.16,34.2,34.13,1124
34.14,34.26,34.26,34.14,1010
34.28,34.33,34.33,34.28,203
34.33,34.325,34.34,34.325,530
34.35,34.38,34.41,34.35,972
34.44,34.47,34.47,34.44,500
34.42,34.42,34.445,34.42,712
34.44,34.38,34.44,34.38,543
34.33,34.395,34.395,34.33,440
34.32,34.315,34.335,34.27,2076
34.29,34.32,34.32,34.29,1034
34.29,34.305,34.33,34.29,1103
34.315,34.335,34.335,34.23,5154
34.32,34.33,34.37,34.275,3831
34.35,34.38,34.38,34.35,1120
34.35,34.41,34.41,34.35,2260
34.425,34.45,34.455,34.4,3866
34.49,34.605,34.61,34.49,2206
34.615,34.61,34.65,34.56,2432
34.58,34.61,34.64,34.58,1415
34.62,34.67,34.67,34.61,4433
34.66,34.72,34.74,34.65,7415
34.73,34.74,34.74,34.65,5632
34.74,34.825,34.83,34.71,4950
34.81,34.86,34.89,34.8,6934
34.88,35.03,35.035,34.835,30172
35.02,35.08,35.115,34.99,35457
35.08,35.01,35.14,34.82,2641
34.92,34.33,34.92,34.33,1147
34.18,34.34,34.37,34.18,735
34.395,34.38,34.41,34.29,1551
34.3,34.49,34.56,34.3,2605
34.53,34.64,34.67,34.53,2144
34.64,34.5,34.64,34.43,15979
34.48,34.38,34.515,34.325,36470
34.425,34.3,34.54,34.3,18219
34.22,34.15,34.25,34.08,902
34.05,34.07,34.13,34.05,650
34.07,34.005,34.085,34.005,300
34.025,33.84,34.025,33.84,17983
33.905,33.86,33.935,33.83,1287
33.79,33.97,33.97,33.78,1200
33.96,33.86,33.96,33.86,1118
33.79,33.83,33.83,33.725,1492
33.87,33.875,33.91,33.855,1203
33.73,33.79,33.79,33.705,2337
33.79,33.82,33.91,33.735,1974
33.81,33.92,33.92,33.81,1066
33.91,33.91,33.98,33.91,1492
33.98,33.935,34.02,33.925,2193
33.94,33.985,33.985,33.9,1322
34.04,34,34.08,34,610
33.95,34.02,34.02,33.95,977
34.07,34.025,34.11,33.97,1086
34.035,34.055,34.055,34.02,802
34.12,34.12,34.12,34.07,592
34.17,34.08,34.17,34.08,936
34.07,34.1,34.11,34.07,504
34.09,34.14,34.14,34.06,2838
34.14,34.14,34.225,34.14,2007
34.13,34.155,34.185,34.12,1442
34.23,34.23,34.23,34.23,210
34.19,34.13,34.19,34.13,400
34.14,34.13,34.14,34.065,1822
34.145,34.34,34.34,34.145,2677
34.33,34.29,34.345,34.29,1282
34.23,34.28,34.28,34.225,605
34.36,34.22,34.36,34.22,312
34.275,34.28,34.29,34.265,600
34.35,34.39,34.4,34.35,1362
34.39,34.38,34.39,34.38,478
34.35,34.33,34.35,34.28,1655
