Open, Close, High, Low, Volume
2020-09-02 14:20:00-04:00,32.205,32.22,32.22,32.205,671
2020-09-02 14:25:00-04:00,32.21,32.255,32.255,32.21,507
2020-09-02 14:30:00-04:00,32.265,32.28,32.28,32.26,591
2020-09-02 14:35:00-04:00,32.23,32.22,32.23,32.21,1205
2020-09-02 14:40:00-04:00,32.22,32.21,32.22,32.2,2468
2020-09-02 14:45:00-04:00,32.19,32.24,32.25,32.19,783
2020-09-02 14:50:00-04:00,32.26,32.32,32.325,32.26,1110
2020-09-02 14:55:00-04:00,32.31,32.34,32.34,32.31,1493
2020-09-02 15:00:00-04:00,32.32,32.34,32.345,32.315,2087
2020-09-02 15:05:00-04:00,32.315,32.35,32.35,32.3,4417
2020-09-02 15:10:00-04:00,32.35,32.33,32.35,32.225,3846
2020-09-02 15:15:00-04:00,32.34,32.34,32.35,32.33,2118
2020-09-02 15:20:00-04:00,32.345,32.385,32.395,32.34,1335
2020-09-02 15:25:00-04:00,32.4,32.43,32.43,32.4,1588
2020-09-02 15:30:00-04:00,32.425,32.46,32.48,32.425,4207
2020-09-02 15:35:00-04:00,32.46,32.51,32.51,32.44,2081
2020-09-02 15:40:00-04:00,32.51,32.51,32.53,32.49,2085
2020-09-02 15:45:00-04:00,32.48,32.555,32.555,32.46,2327
2020-09-02 15:50:00-04:00,32.6,32.58,32.6,32.5,7076
2020-09-02 15:55:00-04:00,32.57,32.4,32.58,32.4,12426
2020-09-03 09:30:00-04:00,32.75,33.1,33.1,32.75,341
2020-09-03 09:45:00-04:00,33.72,33.86,33.86,33.72,375
2020-09-03 09:50:00-04:00,33.89,33.65,33.89,33.65,367
2020-09-03 10:00:00-04:00,33.695,33.575,33.695,33.575,553
2020-09-03 10:05:00-04:00,33.405,33.285,33.405,33.285,695
2020-09-03 10:10:00-04:00,33.41,33.41,33.41,33.41,276
2020-09-03 10:20:00-04:00,33.44,33.47,33.47,33.44,598
2020-09-03 10:25:00-04:00,33.35,33.34,33.35,33.34,300
2020-09-03 10:30:00-04:00,33.25,33.39,33.42,33.25,704
2020-09-03 10:35:00-04:00,33.37,33.28,33.37,33.28,751
2020-09-03 10:40:00-04:00,33.47,33.47,33.47,33.47,100
2020-09-03 10:45:00-04:00,33.45,33.375,33.47,33.375,1032
2020-09-03 10:50:00-04:00,33.39,33.32,33.39,33.31,800
2020-09-03 10:55:00-04:00,33.32,33.35,33.35,33.31,401
2020-09-03 11:00:00-04:00,33.31,33.31,33.31,33.31,458
2020-09-03 11:05:00-04:00,33.16,33.02,33.19,32.94,1298
2020-09-03 11:10:00-04:00,32.96,33.035,33.035,32.96,300
2020-09-03 11:15:00-04:00,33.01,32.72,33.01,32.72,505
2020-09-03 11:20:00-04:00,32.64,32.685,32.69,32.61,1469
2020-09-03 11:25:00-04:00,32.62,32.64,32.7,32.6,1487
2020-09-03 11:30:00-04:00,32.6,32.715,32.76,32.6,1088
2020-09-03 11:35:00-04:00,32.74,32.91,32.91,32.68,877
2020-09-03 11:40:00-04:00,32.95,32.88,32.95,32.88,430
2020-09-03 11:45:00-04:00,32.9,32.9,32.9,32.88,600
2020-09-03 11:50:00-04:00,32.85,32.85,32.85,32.84,300
2020-09-03 11:55:00-04:00,32.885,32.84,32.885,32.84,311
2020-09-03 12:00:00-04:00,32.865,32.895,32.895,32.83,301
2020-09-03 12:05:00-04:00,32.9,32.9,32.9,32.9,100
2020-09-03 12:15:00-04:00,32.9,32.9,32.9,32.875,535
2020-09-03 12:20:00-04:00,32.93,32.91,32.93,32.91,324
2020-09-03 12:25:00-04:00,32.92,32.94,32.94,32.9,502
2020-09-03 12:30:00-04:00,32.895,32.89,32.93,32.86,2019
2020-09-03 12:35:00-04:00,32.86,32.9,32.94,32.84,1786
2020-09-03 12:40:00-04:00,32.86,32.84,32.86,32.84,393
2020-09-03 12:50:00-04:00,32.8,32.74,32.8,32.715,1653
2020-09-03 12:55:00-04:00,32.73,32.8,32.83,32.73,1139
2020-09-03 13:00:00-04:00,32.76,32.725,32.76,32.72,604
2020-09-03 13:05:00-04:00,32.71,32.77,32.77,32.71,705
2020-09-03 13:10:00-04:00,32.805,32.815,32.845,32.805,1342
2020-09-03 13:15:00-04:00,32.845,32.75,32.86,32.75,527
2020-09-03 13:20:00-04:00,32.7,32.77,32.77,32.7,2742
2020-09-03 13:25:00-04:00,32.725,32.745,32.745,32.655,1894
2020-09-03 13:30:00-04:00,32.705,32.615,32.705,32.57,2501
2020-09-03 13:35:00-04:00,32.635,32.64,32.675,32.635,701
2020-09-03 13:40:00-04:00,32.64,32.68,32.72,32.64,500
2020-09-03 13:45:00-04:00,32.71,32.69,32.71,32.69,637
2020-09-03 13:50:00-04:00,32.74,32.76,32.76,32.71,301
2020-09-03 13:55:00-04:00,32.78,32.76,32.8,32.76,1008
